Year,Month,Industry_Section,Occupation_Group,Number_of_Vacancies
2016,March,K: Financing and insurance,Managers,1166
2016,March,K: Financing and insurance,Professionals,584
2016,March,K: Financing and insurance,Associate_Professionals,1906
2016,March,K: Financing and insurance,Clerical_Support_Workers,1305
2016,March,K: Financing and insurance,Service_Sales_Workers,120
2016,March,K: Financing and insurance,Craft_Related_Workers,4
2016,March,K: Financing and insurance,Plant_Machine_Operators,19
2016,March,K: Financing and insurance,Skilled_Agricultural_Fishery,0
2016,March,K: Financing and insurance,Elementary_Occupations,74
2016,March,K: Financing and insurance,Total,5178
2016,March,L: Real estate,Managers,140
2016,March,L: Real estate,Professionals,125
2016,March,L: Real estate,Associate_Professionals,994
2016,March,L: Real estate,Clerical_Support_Workers,402
2016,March,L: Real estate,Service_Sales_Workers,2033
2016,March,L: Real estate,Craft_Related_Workers,198
2016,March,L: Real estate,Plant_Machine_Operators,7
2016,March,L: Real estate,Skilled_Agricultural_Fishery,2
2016,March,L: Real estate,Elementary_Occupations,331
2016,March,L: Real estate,Total,4232
2016,March,M & N: Professional and business services,Managers,255
2016,March,M & N: Professional and business services,Professionals,1065
2016,March,M & N: Professional and business services,Associate_Professionals,1447
2016,March,M & N: Professional and business services,Clerical_Support_Workers,1278
2016,March,M & N: Professional and business services,Service_Sales_Workers,2676
2016,March,M & N: Professional and business services,Craft_Related_Workers,205
2016,March,M & N: Professional and business services,Plant_Machine_Operators,87
2016,March,M & N: Professional and business services,Skilled_Agricultural_Fishery,53
2016,March,M & N: Professional and business services,Elementary_Occupations,1920
2016,March,M & N: Professional and business services,Total,8986
2016,March,P - S: Social and personal services,Managers,277
2016,March,P - S: Social and personal services,Professionals,2541
2016,March,P - S: Social and personal services,Associate_Professionals,1571
2016,March,P - S: Social and personal services,Clerical_Support_Workers,2085
2016,March,P - S: Social and personal services,Service_Sales_Workers,5366
2016,March,P - S: Social and personal services,Craft_Related_Workers,645
2016,March,P - S: Social and personal services,Plant_Machine_Operators,98
2016,March,P - S: Social and personal services,Skilled_Agricultural_Fishery,15
2016,March,P - S: Social and personal services,Elementary_Occupations,1682
2016,March,P - S: Social and personal services,Total,14280
2016,March,All industry sections covered,Managers,2972
2016,March,All industry sections covered,Professionals,6175
2016,March,All industry sections covered,Associate_Professionals,9362
2016,March,All industry sections covered,Clerical_Support_Workers,8918
2016,March,All industry sections covered,Service_Sales_Workers,28452
2016,March,All industry sections covered,Craft_Related_Workers,3756
2016,March,All industry sections covered,Plant_Machine_Operators,1639
2016,March,All industry sections covered,Skilled_Agricultural_Fishery,92
2016,March,All industry sections covered,Elementary_Occupations,8935
2016,March,All industry sections covered,Total,70301
2016,June,Manufacturing,Managers,6
2016,June,Manufacturing,Professionals,96
2016,June,Manufacturing,Associate_Professionals,157
