Year,Month,Industry_Section,Occupation_Group,Number_of_Vacancies
2017,June,"H: Transportation, storage, postal and courier services",Clerical_Support_Workers,791
2017,June,"H: Transportation, storage, postal and courier services",Service_Sales_Workers,198
2017,June,"H: Transportation, storage, postal and courier services",Craft_Related_Workers,241
2017,June,"H: Transportation, storage, postal and courier services",Plant_Machine_Operators,500
2017,June,"H: Transportation, storage, postal and courier services",Skilled_Agricultural_Fishery,2
2017,June,"H: Transportation, storage, postal and courier services",Elementary_Occupations,953
2017,June,"H: Transportation, storage, postal and courier services",Total,3560
2017,June,I: Accommodation and food services,Managers,90
2017,June,I: Accommodation and food services,Professionals,25
2017,June,I: Accommodation and food services,Associate_Professionals,258
2017,June,I: Accommodation and food services,Clerical_Support_Workers,418
2017,June,I: Accommodation and food services,Service_Sales_Workers,10135
2017,June,I: Accommodation and food services,Craft_Related_Workers,342
2017,June,I: Accommodation and food services,Plant_Machine_Operators,4
2017,June,I: Accommodation and food services,Skilled_Agricultural_Fishery,0
2017,June,I: Accommodation and food services,Elementary_Occupations,1944
2017,June,I: Accommodation and food services,Total,13216
2017,June,J: Information and communications,Managers,276
2017,June,J: Information and communications,Professionals,1460
2017,June,J: Information and communications,Associate_Professionals,648
2017,June,J: Information and communications,Clerical_Support_Workers,191
2017,June,J: Information and communications,Service_Sales_Workers,113
2017,June,J: Information and communications,Craft_Related_Workers,9
2017,June,J: Information and communications,Plant_Machine_Operators,11
2017,June,J: Information and communications,Skilled_Agricultural_Fishery,0
2017,June,J: Information and communications,Elementary_Occupations,2
2017,June,J: Information and communications,Total,2710
2017,June,K: Financing and insurance,Managers,1088
2017,June,K: Financing and insurance,Professionals,892
2017,June,K: Financing and insurance,Associate_Professionals,2821
2017,June,K: Financing and insurance,Clerical_Support_Workers,832
2017,June,K: Financing and insurance,Service_Sales_Workers,29
2017,June,K: Financing and insurance,Craft_Related_Workers,0
2017,June,K: Financing and insurance,Plant_Machine_Operators,7
2017,June,K: Financing and insurance,Skilled_Agricultural_Fishery,0
2017,June,K: Financing and insurance,Elementary_Occupations,75
2017,June,K: Financing and insurance,Total,5744
2017,June,L: Real estate,Managers,174
2017,June,L: Real estate,Professionals,148
2017,June,L: Real estate,Associate_Professionals,1177
2017,June,L: Real estate,Clerical_Support_Workers,389
2017,June,L: Real estate,Service_Sales_Workers,1746
2017,June,L: Real estate,Craft_Related_Workers,121
2017,June,L: Real estate,Plant_Machine_Operators,25
2017,June,L: Real estate,Skilled_Agricultural_Fishery,3
2017,June,L: Real estate,Elementary_Occupations,427
2017,June,L: Real estate,Total,4210
2017,June,M & N: Professional and business services,Managers,412
2017,June,M & N: Professional and business services,Professionals,1414
2017,June,M & N: Professional and business services,Associate_Professionals,1822
2017,June,M & N: Professional and business services,Clerical_Support_Workers,986
2017,June,M & N: Professional and business services,Service_Sales_Workers,1895
2017,June,M & N: Professional and business services,Craft_Related_Workers,172
2017,June,M & N: Professional and business services,Plant_Machine_Operators,100
2017,June,M & N: Professional and business services,Skilled_Agricultural_Fishery,44
2017,June,M & N: Professional and business services,Elementary_Occupations,1744
2017,June,M & N: Professional and business services,Total,8589
2017,June,P - S: Social and personal services,Managers,293
2017,June,P - S: Social and personal services,Professionals,2699
2017,June,P - S: Social and personal services,Associate_Professionals,1836
2017,June,P - S: Social and personal services,Clerical_Support_Workers,1757
2017,June,P - S: Social and personal services,Service_Sales_Workers,4018
2017,June,P - S: Social and personal services,Craft_Related_Workers,479
2017,June,P - S: Social and personal services,Plant_Machine_Operators,73
2017,June,P - S: Social and personal services,Skilled_Agricultural_Fishery,6
2017,June,P - S: Social and personal services,Elementary_Occupations,1971
2017,June,P - S: Social and personal services,Total,13132
2017,June,All industry sections covered,Managers,3202
2017,June,All industry sections covered,Professionals,7963
2017,June,All industry sections covered,Associate_Professionals,12310
2017,June,All industry sections covered,Clerical_Support_Workers,7057
2017,June,All industry sections covered,Service_Sales_Workers,24533
2017,June,All industry sections covered,Craft_Related_Workers,2859
2017,June,All industry sections covered,Plant_Machine_Operators,2255
2017,June,All industry sections covered,Skilled_Agricultural_Fishery,118
2017,June,All industry sections covered,Elementary_Occupations,9295
2017,June,All industry sections covered,Total,69592
2017,September,Manufacturing,Managers,13
2017,September,Manufacturing,Professionals,75
2017,September,Manufacturing,Associate_Professionals,204
2017,September,Manufacturing,Clerical_Support_Workers,155
2017,September,Manufacturing,Service_Sales_Workers,267
2017,September,Manufacturing,Craft_Related_Workers,717
2017,September,Manufacturing,Plant_Machine_Operators,289
2017,September,Manufacturing,Skilled_Agricultural_Fishery,0
2017,September,Manufacturing,Elementary_Occupations,518
2017,September,Manufacturing,Total,2238
2017,September,"Mining, Quarrying, Electricity, Gas, Waste Management",Managers,11
2017,September,"Mining, Quarrying, Electricity, Gas, Waste Management",Professionals,1
2017,September,"Mining, Quarrying, Electricity, Gas, Waste Management",Associate_Professionals,24
2017,September,"Mining, Quarrying, Electricity, Gas, Waste Management",Clerical_Support_Workers,1
2017,September,"Mining, Quarrying, Electricity, Gas, Waste Management",Service_Sales_Workers,3
2017,September,"Mining, Quarrying, Electricity, Gas, Waste Management",Craft_Related_Workers,25
2017,September,"Mining, Quarrying, Electricity, Gas, Waste Management",Plant_Machine_Operators,37
2017,September,"Mining, Quarrying, Electricity, Gas, Waste Management",Skilled_Agricultural_Fishery,0
2017,September,"Mining, Quarrying, Electricity, Gas, Waste Management",Elementary_Occupations,107
2017,September,"Mining, Quarrying, Electricity, Gas, Waste Management",Total,209
2017,September,Construction Sites (Manual Workers),Managers,NA
2017,September,Construction Sites (Manual Workers),Professionals,NA
2017,September,Construction Sites (Manual Workers),Associate_Professionals,NA
2017,September,Construction Sites (Manual Workers),Clerical_Support_Workers,NA
2017,September,Construction Sites (Manual Workers),Service_Sales_Workers,NA
2017,September,Construction Sites (Manual Workers),Craft_Related_Workers,352
2017,September,Construction Sites (Manual Workers),Plant_Machine_Operators,165
2017,September,Construction Sites (Manual Workers),Skilled_Agricultural_Fishery,NA
2017,September,Construction Sites (Manual Workers),Elementary_Occupations,314
2017,September,Construction Sites (Manual Workers),Total,831
2017,September,"G: Import/export, wholesale and retail trades",Managers,571
2017,September,"G: Import/export, wholesale and retail trades",Professionals,935
2017,September,"G: Import/export, wholesale and retail trades",Associate_Professionals,2429
2017,September,"G: Import/export, wholesale and retail trades",Clerical_Support_Workers,2191
2017,September,"G: Import/export, wholesale and retail trades",Service_Sales_Workers,7124
2017,September,"G: Import/export, wholesale and retail trades",Craft_Related_Workers,526
2017,September,"G: Import/export, wholesale and retail trades",Plant_Machine_Operators,414
2017,September,"G: Import/export, wholesale and retail trades",Skilled_Agricultural_Fishery,2
2017,September,"G: Import/export, wholesale and retail trades",Elementary_Occupations,1552
2017,September,"G: Import/export, wholesale and retail trades",Total,15744
2017,September,G45-46: Import/export trade and wholesale,Managers,397
2017,September,G45-46: Import/export trade and wholesale,Professionals,718
2017,September,G45-46: Import/export trade and wholesale,Associate_Professionals,2045
2017,September,G45-46: Import/export trade and wholesale,Clerical_Support_Workers,1459
2017,September,G45-46: Import/export trade and wholesale,Service_Sales_Workers,1462
2017,September,G45-46: Import/export trade and wholesale,Craft_Related_Workers,255
2017,September,G45-46: Import/export trade and wholesale,Plant_Machine_Operators,354
2017,September,G45-46: Import/export trade and wholesale,Skilled_Agricultural_Fishery,2
2017,September,G45-46: Import/export trade and wholesale,Elementary_Occupations,922
2017,September,G45-46: Import/export trade and wholesale,Total,7614
2017,September,G47: Retail,Managers,174
2017,September,G47: Retail,Professionals,217
2017,September,G47: Retail,Associate_Professionals,384
2017,September,G47: Retail,Clerical_Support_Workers,732
2017,September,G47: Retail,Service_Sales_Workers,5662
2017,September,G47: Retail,Craft_Related_Workers,271
2017,September,G47: Retail,Plant_Machine_Operators,60
2017,September,G47: Retail,Skilled_Agricultural_Fishery,0
2017,September,G47: Retail,Elementary_Occupations,630
2017,September,G47: Retail,Total,8130
2017,September,"H: Transportation, storage, postal and courier services",Managers,82
2017,September,"H: Transportation, storage, postal and courier services",Professionals,161
2017,September,"H: Transportation, storage, postal and courier services",Associate_Professionals,447
2017,September,"H: Transportation, storage, postal and courier services",Clerical_Support_Workers,750
2017,September,"H: Transportation, storage, postal and courier services",Service_Sales_Workers,553
2017,September,"H: Transportation, storage, postal and courier services",Craft_Related_Workers,93
2017,September,"H: Transportation, storage, postal and courier services",Plant_Machine_Operators,608
2017,September,"H: Transportation, storage, postal and courier services",Skilled_Agricultural_Fishery,2
2017,September,"H: Transportation, storage, postal and courier services",Elementary_Occupations,902
2017,September,"H: Transportation, storage, postal and courier services",Total,3598
2017,September,I: Accommodation and food services,Managers,151
2017,September,I: Accommodation and food services,Professionals,9
2017,September,I: Accommodation and food services,Associate_Professionals,348
2017,September,I: Accommodation and food services,Clerical_Support_Workers,289
2017,September,I: Accommodation and food services,Service_Sales_Workers,9446
2017,September,I: Accommodation and food services,Craft_Related_Workers,378
2017,September,I: Accommodation and food services,Plant_Machine_Operators,24
2017,September,I: Accommodation and food services,Skilled_Agricultural_Fishery,0
2017,September,I: Accommodation and food services,Elementary_Occupations,1982
2017,September,I: Accommodation and food services,Total,12627
2017,September,J: Information and communications,Managers,282
2017,September,J: Information and communications,Professionals,1472
2017,September,J: Information and communications,Associate_Professionals,641
2017,September,J: Information and communications,Clerical_Support_Workers,172
2017,September,J: Information and communications,Service_Sales_Workers,118
2017,September,J: Information and communications,Craft_Related_Workers,54
2017,September,J: Information and communications,Plant_Machine_Operators,2
2017,September,J: Information and communications,Skilled_Agricultural_Fishery,0
2017,September,J: Information and communications,Elementary_Occupations,9
2017,September,J: Information and communications,Total,2750
2017,September,K: Financing and insurance,Managers,1001
2017,September,K: Financing and insurance,Professionals,958
2017,September,K: Financing and insurance,Associate_Professionals,2772
2017,September,K: Financing and insurance,Clerical_Support_Workers,613
2017,September,K: Financing and insurance,Service_Sales_Workers,41
2017,September,K: Financing and insurance,Craft_Related_Workers,1
2017,September,K: Financing and insurance,Plant_Machine_Operators,2
2017,September,K: Financing and insurance,Skilled_Agricultural_Fishery,0
2017,September,K: Financing and insurance,Elementary_Occupations,119
2017,September,K: Financing and insurance,Total,5507
2017,September,L: Real estate,Managers,225
2017,September,L: Real estate,Professionals,174
2017,September,L: Real estate,Associate_Professionals,1130
2017,September,L: Real estate,Clerical_Support_Workers,322
2017,September,L: Real estate,Service_Sales_Workers,1590
2017,September,L: Real estate,Craft_Related_Workers,255
2017,September,L: Real estate,Plant_Machine_Operators,23
2017,September,L: Real estate,Skilled_Agricultural_Fishery,1
2017,September,L: Real estate,Elementary_Occupations,421
2017,September,L: Real estate,Total,4141
2017,September,M & N: Professional and business services,Managers,370
2017,September,M & N: Professional and business services,Professionals,1321
2017,September,M & N: Professional and business services,Associate_Professionals,1518
2017,September,M & N: Professional and business services,Clerical_Support_Workers,805
2017,September,M & N: Professional and business services,Service_Sales_Workers,2065
2017,September,M & N: Professional and business services,Craft_Related_Workers,198
2017,September,M & N: Professional and business services,Plant_Machine_Operators,203
2017,September,M & N: Professional and business services,Skilled_Agricultural_Fishery,77
2017,September,M & N: Professional and business services,Elementary_Occupations,2032
2017,September,M & N: Professional and business services,Total,8589
2017,September,P - S: Social and personal services,Managers,286
2017,September,P - S: Social and personal services,Professionals,2816
2017,September,P - S: Social and personal services,Associate_Professionals,3028
2017,September,P - S: Social and personal services,Clerical_Support_Workers,2171
2017,September,P - S: Social and personal services,Service_Sales_Workers,4191
2017,September,P - S: Social and personal services,Craft_Related_Workers,409
2017,September,P - S: Social and personal services,Plant_Machine_Operators,70
2017,September,P - S: Social and personal services,Skilled_Agricultural_Fishery,6
2017,September,P - S: Social and personal services,Elementary_Occupations,1938
2017,September,P - S: Social and personal services,Total,14915
2017,September,All industry sections covered,Managers,2992
2017,September,All industry sections covered,Professionals,7922
2017,September,All industry sections covered,Associate_Professionals,12541
2017,September,All industry sections covered,Clerical_Support_Workers,7469
2017,September,All industry sections covered,Service_Sales_Workers,25398
2017,September,All industry sections covered,Craft_Related_Workers,3008
2017,September,All industry sections covered,Plant_Machine_Operators,1837
2017,September,All industry sections covered,Skilled_Agricultural_Fishery,88
2017,September,All industry sections covered,Elementary_Occupations,9894
2017,September,All industry sections covered,Total,71149
2017,December,Manufacturing,Managers,21
2017,December,Manufacturing,Professionals,52
2017,December,Manufacturing,Associate_Professionals,211
2017,December,Manufacturing,Clerical_Support_Workers,146
2017,December,Manufacturing,Service_Sales_Workers,288
2017,December,Manufacturing,Craft_Related_Workers,929
2017,December,Manufacturing,Plant_Machine_Operators,157
2017,December,Manufacturing,Skilled_Agricultural_Fishery,0
2017,December,Manufacturing,Elementary_Occupations,801
2017,December,Manufacturing,Total,2605
2017,December,"Mining, Quarrying, Electricity, Gas, Waste Management",Managers,14
2017,December,"Mining, Quarrying, Electricity, Gas, Waste Management",Professionals,2
2017,December,"Mining, Quarrying, Electricity, Gas, Waste Management",Associate_Professionals,31
2017,December,"Mining, Quarrying, Electricity, Gas, Waste Management",Clerical_Support_Workers,12
2017,December,"Mining, Quarrying, Electricity, Gas, Waste Management",Service_Sales_Workers,0
2017,December,"Mining, Quarrying, Electricity, Gas, Waste Management",Craft_Related_Workers,65
2017,December,"Mining, Quarrying, Electricity, Gas, Waste Management",Plant_Machine_Operators,38
2017,December,"Mining, Quarrying, Electricity, Gas, Waste Management",Skilled_Agricultural_Fishery,0
2017,December,"Mining, Quarrying, Electricity, Gas, Waste Management",Elementary_Occupations,114
2017,December,"Mining, Quarrying, Electricity, Gas, Waste Management",Total,276
2017,December,Construction Sites (Manual Workers),Managers,NA
2017,December,Construction Sites (Manual Workers),Professionals,NA
2017,December,Construction Sites (Manual Workers),Associate_Professionals,NA
2017,December,Construction Sites (Manual Workers),Clerical_Support_Workers,NA
2017,December,Construction Sites (Manual Workers),Service_Sales_Workers,NA
2017,December,Construction Sites (Manual Workers),Craft_Related_Workers,365
2017,December,Construction Sites (Manual Workers),Plant_Machine_Operators,873
2017,December,Construction Sites (Manual Workers),Skilled_Agricultural_Fishery,NA
2017,December,Construction Sites (Manual Workers),Elementary_Occupations,136
2017,December,Construction Sites (Manual Workers),Total,1374
2017,December,"G: Import/export, wholesale and retail trades",Managers,966
2017,December,"G: Import/export, wholesale and retail trades",Professionals,1191
2017,December,"G: Import/export, wholesale and retail trades",Associate_Professionals,2484
2017,December,"G: Import/export, wholesale and retail trades",Clerical_Support_Workers,1848
2017,December,"G: Import/export, wholesale and retail trades",Service_Sales_Workers,6524
2017,December,"G: Import/export, wholesale and retail trades",Craft_Related_Workers,389
2017,December,"G: Import/export, wholesale and retail trades",Plant_Machine_Operators,306
2017,December,"G: Import/export, wholesale and retail trades",Skilled_Agricultural_Fishery,0
2017,December,"G: Import/export, wholesale and retail trades",Elementary_Occupations,1237
2017,December,"G: Import/export, wholesale and retail trades",Total,14945
2017,December,G45-46: Import/export trade and wholesale,Managers,609
2017,December,G45-46: Import/export trade and wholesale,Professionals,977
2017,December,G45-46: Import/export trade and wholesale,Associate_Professionals,1852
2017,December,G45-46: Import/export trade and wholesale,Clerical_Support_Workers,1365
2017,December,G45-46: Import/export trade and wholesale,Service_Sales_Workers,1007
2017,December,G45-46: Import/export trade and wholesale,Craft_Related_Workers,238
2017,December,G45-46: Import/export trade and wholesale,Plant_Machine_Operators,259
2017,December,G45-46: Import/export trade and wholesale,Skilled_Agricultural_Fishery,0
2017,December,G45-46: Import/export trade and wholesale,Elementary_Occupations,840
2017,December,G45-46: Import/export trade and wholesale,Total,7147
2017,December,G47: Retail,Managers,357
2017,December,G47: Retail,Professionals,214
2017,December,G47: Retail,Associate_Professionals,632
2017,December,G47: Retail,Clerical_Support_Workers,483
2017,December,G47: Retail,Service_Sales_Workers,5517
2017,December,G47: Retail,Craft_Related_Workers,151
2017,December,G47: Retail,Plant_Machine_Operators,47
2017,December,G47: Retail,Skilled_Agricultural_Fishery,0
2017,December,G47: Retail,Elementary_Occupations,397
2017,December,G47: Retail,Total,7798
2017,December,"H: Transportation, storage, postal and courier services",Managers,62
2017,December,"H: Transportation, storage, postal and courier services",Professionals,124
2017,December,"H: Transportation, storage, postal and courier services",Associate_Professionals,521
2017,December,"H: Transportation, storage, postal and courier services",Clerical_Support_Workers,818
2017,December,"H: Transportation, storage, postal and courier services",Service_Sales_Workers,469
2017,December,"H: Transportation, storage, postal and courier services",Craft_Related_Workers,126
2017,December,"H: Transportation, storage, postal and courier services",Plant_Machine_Operators,522
2017,December,"H: Transportation, storage, postal and courier services",Skilled_Agricultural_Fishery,0
2017,December,"H: Transportation, storage, postal and courier services",Elementary_Occupations,805
2017,December,"H: Transportation, storage, postal and courier services",Total,3447
2017,December,I: Accommodation and food services,Managers,188
2017,December,I: Accommodation and food services,Professionals,22
2017,December,I: Accommodation and food services,Associate_Professionals,365
2017,December,I: Accommodation and food services,Clerical_Support_Workers,312
2017,December,I: Accommodation and food services,Service_Sales_Workers,10754
2017,December,I: Accommodation and food services,Craft_Related_Workers,182
2017,December,I: Accommodation and food services,Plant_Machine_Operators,63
2017,December,I: Accommodation and food services,Skilled_Agricultural_Fishery,0
2017,December,I: Accommodation and food services,Elementary_Occupations,2025
2017,December,I: Accommodation and food services,Total,13911
2017,December,J: Information and communications,Managers,427
2017,December,J: Information and communications,Professionals,1508
2017,December,J: Information and communications,Associate_Professionals,595
2017,December,J: Information and communications,Clerical_Support_Workers,85
2017,December,J: Information and communications,Service_Sales_Workers,105
2017,December,J: Information and communications,Craft_Related_Workers,22
2017,December,J: Information and communications,Plant_Machine_Operators,8
2017,December,J: Information and communications,Skilled_Agricultural_Fishery,0
2017,December,J: Information and communications,Elementary_Occupations,15
2017,December,J: Information and communications,Total,2765
2017,December,K: Financing and insurance,Managers,1094
2017,December,K: Financing and insurance,Professionals,1146
2017,December,K: Financing and insurance,Associate_Professionals,2413
2017,December,K: Financing and insurance,Clerical_Support_Workers,784
2017,December,K: Financing and insurance,Service_Sales_Workers,83
2017,December,K: Financing and insurance,Craft_Related_Workers,2
2017,December,K: Financing and insurance,Plant_Machine_Operators,7
2017,December,K: Financing and insurance,Skilled_Agricultural_Fishery,1
2017,December,K: Financing and insurance,Elementary_Occupations,135
2017,December,K: Financing and insurance,Total,5665
2017,December,L: Real estate,Managers,187
2017,December,L: Real estate,Professionals,131
2017,December,L: Real estate,Associate_Professionals,890
2017,December,L: Real estate,Clerical_Support_Workers,376
2017,December,L: Real estate,Service_Sales_Workers,1874
2017,December,L: Real estate,Craft_Related_Workers,98
2017,December,L: Real estate,Plant_Machine_Operators,3
2017,December,L: Real estate,Skilled_Agricultural_Fishery,1
2017,December,L: Real estate,Elementary_Occupations,204
2017,December,L: Real estate,Total,3764
2017,December,M & N: Professional and business services,Managers,577
2017,December,M & N: Professional and business services,Professionals,1721
2017,December,M & N: Professional and business services,Associate_Professionals,1114
2017,December,M & N: Professional and business services,Clerical_Support_Workers,961
2017,December,M & N: Professional and business services,Service_Sales_Workers,2034
2017,December,M & N: Professional and business services,Craft_Related_Workers,140
2017,December,M & N: Professional and business services,Plant_Machine_Operators,166
2017,December,M & N: Professional and business services,Skilled_Agricultural_Fishery,137
2017,December,M & N: Professional and business services,Elementary_Occupations,2004
2017,December,M & N: Professional and business services,Total,8854
2017,December,P - S: Social and personal services,Managers,286
2017,December,P - S: Social and personal services,Professionals,2831
2017,December,P - S: Social and personal services,Associate_Professionals,3842
2017,December,P - S: Social and personal services,Clerical_Support_Workers,2415
2017,December,P - S: Social and personal services,Service_Sales_Workers,4182
2017,December,P - S: Social and personal services,Craft_Related_Workers,338
2017,December,P - S: Social and personal services,Plant_Machine_Operators,97
2017,December,P - S: Social and personal services,Skilled_Agricultural_Fishery,12
2017,December,P - S: Social and personal services,Elementary_Occupations,2432
2017,December,P - S: Social and personal services,Total,16435
2017,December,All industry sections covered,Managers,3822
2017,December,All industry sections covered,Professionals,8728
2017,December,All industry sections covered,Associate_Professionals,12466
2017,December,All industry sections covered,Clerical_Support_Workers,7757
2017,December,All industry sections covered,Service_Sales_Workers,26313
2017,December,All industry sections covered,Craft_Related_Workers,2656
2017,December,All industry sections covered,Plant_Machine_Operators,2240
2017,December,All industry sections covered,Skilled_Agricultural_Fishery,151
2017,December,All industry sections covered,Elementary_Occupations,9908
2017,December,All industry sections covered,Total,74041
2018,March,Manufacturing,Managers,35
2018,March,Manufacturing,Professionals,65
2018,March,Manufacturing,Associate_Professionals,241
2018,March,Manufacturing,Clerical_Support_Workers,143
2018,March,Manufacturing,Service_Sales_Workers,388
2018,March,Manufacturing,Craft_Related_Workers,700
2018,March,Manufacturing,Plant_Machine_Operators,211
2018,March,Manufacturing,Skilled_Agricultural_Fishery,0
2018,March,Manufacturing,Elementary_Occupations,826
2018,March,Manufacturing,Total,2609
2018,March,"Mining, Quarrying, Electricity, Gas, Waste Management",Managers,14
2018,March,"Mining, Quarrying, Electricity, Gas, Waste Management",Professionals,2
2018,March,"Mining, Quarrying, Electricity, Gas, Waste Management",Associate_Professionals,30
2018,March,"Mining, Quarrying, Electricity, Gas, Waste Management",Clerical_Support_Workers,6
2018,March,"Mining, Quarrying, Electricity, Gas, Waste Management",Service_Sales_Workers,0
2018,March,"Mining, Quarrying, Electricity, Gas, Waste Management",Craft_Related_Workers,32
2018,March,"Mining, Quarrying, Electricity, Gas, Waste Management",Plant_Machine_Operators,41
2018,March,"Mining, Quarrying, Electricity, Gas, Waste Management",Skilled_Agricultural_Fishery,0
2018,March,"Mining, Quarrying, Electricity, Gas, Waste Management",Elementary_Occupations,77
2018,March,"Mining, Quarrying, Electricity, Gas, Waste Management",Total,202
2018,March,Construction Sites (Manual Workers),Managers,NA
2018,March,Construction Sites (Manual Workers),Professionals,NA
2018,March,Construction Sites (Manual Workers),Associate_Professionals,NA
2018,March,Construction Sites (Manual Workers),Clerical_Support_Workers,NA
2018,March,Construction Sites (Manual Workers),Service_Sales_Workers,NA
2018,March,Construction Sites (Manual Workers),Craft_Related_Workers,298
2018,March,Construction Sites (Manual Workers),Plant_Machine_Operators,404
2018,March,Construction Sites (Manual Workers),Skilled_Agricultural_Fishery,NA
2018,March,Construction Sites (Manual Workers),Elementary_Occupations,149
2018,March,Construction Sites (Manual Workers),Total,851
2018,March,"G: Import/export, wholesale and retail trades",Managers,827
2018,March,"G: Import/export, wholesale and retail trades",Professionals,1347
2018,March,"G: Import/export, wholesale and retail trades",Associate_Professionals,2669
2018,March,"G: Import/export, wholesale and retail trades",Clerical_Support_Workers,2032
2018,March,"G: Import/export, wholesale and retail trades",Service_Sales_Workers,6827
2018,March,"G: Import/export, wholesale and retail trades",Craft_Related_Workers,514
2018,March,"G: Import/export, wholesale and retail trades",Plant_Machine_Operators,222
2018,March,"G: Import/export, wholesale and retail trades",Skilled_Agricultural_Fishery,58
2018,March,"G: Import/export, wholesale and retail trades",Elementary_Occupations,1209
2018,March,"G: Import/export, wholesale and retail trades",Total,15705
2018,March,G45-46: Import/export trade and wholesale,Managers,633
2018,March,G45-46: Import/export trade and wholesale,Professionals,1141
2018,March,G45-46: Import/export trade and wholesale,Associate_Professionals,2235
2018,March,G45-46: Import/export trade and wholesale,Clerical_Support_Workers,1436
2018,March,G45-46: Import/export trade and wholesale,Service_Sales_Workers,942
2018,March,G45-46: Import/export trade and wholesale,Craft_Related_Workers,276
2018,March,G45-46: Import/export trade and wholesale,Plant_Machine_Operators,197
2018,March,G45-46: Import/export trade and wholesale,Skilled_Agricultural_Fishery,57
2018,March,G45-46: Import/export trade and wholesale,Elementary_Occupations,678
2018,March,G45-46: Import/export trade and wholesale,Total,7595
2018,March,G47: Retail,Managers,194
2018,March,G47: Retail,Professionals,206
2018,March,G47: Retail,Associate_Professionals,434
2018,March,G47: Retail,Clerical_Support_Workers,596
2018,March,G47: Retail,Service_Sales_Workers,5885
2018,March,G47: Retail,Craft_Related_Workers,238
2018,March,G47: Retail,Plant_Machine_Operators,25
2018,March,G47: Retail,Skilled_Agricultural_Fishery,1
2018,March,G47: Retail,Elementary_Occupations,531
2018,March,G47: Retail,Total,8110
2018,March,"H: Transportation, storage, postal and courier services",Managers,132
2018,March,"H: Transportation, storage, postal and courier services",Professionals,175
2018,March,"H: Transportation, storage, postal and courier services",Associate_Professionals,449
2018,March,"H: Transportation, storage, postal and courier services",Clerical_Support_Workers,985
2018,March,"H: Transportation, storage, postal and courier services",Service_Sales_Workers,424
2018,March,"H: Transportation, storage, postal and courier services",Craft_Related_Workers,230
2018,March,"H: Transportation, storage, postal and courier services",Plant_Machine_Operators,768
2018,March,"H: Transportation, storage, postal and courier services",Skilled_Agricultural_Fishery,0
2018,March,"H: Transportation, storage, postal and courier services",Elementary_Occupations,879
2018,March,"H: Transportation, storage, postal and courier services",Total,4042
2018,March,I: Accommodation and food services,Managers,110
2018,March,I: Accommodation and food services,Professionals,91
2018,March,I: Accommodation and food services,Associate_Professionals,337
2018,March,I: Accommodation and food services,Clerical_Support_Workers,418
2018,March,I: Accommodation and food services,Service_Sales_Workers,11269
2018,March,I: Accommodation and food services,Craft_Related_Workers,156
2018,March,I: Accommodation and food services,Plant_Machine_Operators,49
2018,March,I: Accommodation and food services,Skilled_Agricultural_Fishery,0
2018,March,I: Accommodation and food services,Elementary_Occupations,1949
2018,March,I: Accommodation and food services,Total,14379
2018,March,J: Information and communications,Managers,358
2018,March,J: Information and communications,Professionals,1642
2018,March,J: Information and communications,Associate_Professionals,635
2018,March,J: Information and communications,Clerical_Support_Workers,338
2018,March,J: Information and communications,Service_Sales_Workers,103
2018,March,J: Information and communications,Craft_Related_Workers,17
2018,March,J: Information and communications,Plant_Machine_Operators,20
2018,March,J: Information and communications,Skilled_Agricultural_Fishery,0
2018,March,J: Information and communications,Elementary_Occupations,4
2018,March,J: Information and communications,Total,3117
2018,March,K: Financing and insurance,Managers,1215
2018,March,K: Financing and insurance,Professionals,1142
2018,March,K: Financing and insurance,Associate_Professionals,2335
2018,March,K: Financing and insurance,Clerical_Support_Workers,1297
2018,March,K: Financing and insurance,Service_Sales_Workers,35
2018,March,K: Financing and insurance,Craft_Related_Workers,0
2018,March,K: Financing and insurance,Plant_Machine_Operators,5
2018,March,K: Financing and insurance,Skilled_Agricultural_Fishery,0
2018,March,K: Financing and insurance,Elementary_Occupations,61
2018,March,K: Financing and insurance,Total,6090
2018,March,L: Real estate,Managers,185
2018,March,L: Real estate,Professionals,186
2018,March,L: Real estate,Associate_Professionals,1077
2018,March,L: Real estate,Clerical_Support_Workers,533
2018,March,L: Real estate,Service_Sales_Workers,1718
2018,March,L: Real estate,Craft_Related_Workers,175
2018,March,L: Real estate,Plant_Machine_Operators,9
2018,March,L: Real estate,Skilled_Agricultural_Fishery,3
2018,March,L: Real estate,Elementary_Occupations,313
2018,March,L: Real estate,Total,4199
2018,March,M & N: Professional and business services,Managers,498
2018,March,M & N: Professional and business services,Professionals,1740
2018,March,M & N: Professional and business services,Associate_Professionals,1609
2018,March,M & N: Professional and business services,Clerical_Support_Workers,1037
2018,March,M & N: Professional and business services,Service_Sales_Workers,2255
2018,March,M & N: Professional and business services,Craft_Related_Workers,262
2018,March,M & N: Professional and business services,Plant_Machine_Operators,42
2018,March,M & N: Professional and business services,Skilled_Agricultural_Fishery,96
2018,March,M & N: Professional and business services,Elementary_Occupations,2002
2018,March,M & N: Professional and business services,Total,9541
2018,March,P - S: Social and personal services,Managers,368
2018,March,P - S: Social and personal services,Professionals,3157
2018,March,P - S: Social and personal services,Associate_Professionals,2947
2018,March,P - S: Social and personal services,Clerical_Support_Workers,2416
2018,March,P - S: Social and personal services,Service_Sales_Workers,4580
2018,March,P - S: Social and personal services,Craft_Related_Workers,426
2018,March,P - S: Social and personal services,Plant_Machine_Operators,166
