Year,Forecast,Lower_95,Upper_95
2026,20587.49999999746,19840.72195673253,21334.27804326239
2027,21174.99999999492,20118.896363127213,22231.10363686263
2028,21762.499999992386,20469.042487080656,23055.957512904115
2029,22349.99999998985,20856.44391345999,23843.55608651971
2030,22937.49999998731,21267.653531142645,24607.346468831976
